Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,Peter_S,"No, no external wiring on the Trident if I have understood everything correctly. It will communicate via wifi to external payloads, so they are actually working on an external module which you later on hopefully will be able to buy and connect the payloads to.Iâ€™m not 100% sure if this is still the case since there is very little information available about things in general. But I guess that they donâ€™t want to promise anything that they might not be able to deliver (or knowing when they can deliver it)You can read more about the module here:<br>
<a href=""https://forum.openrov.com/t/hello-openrov-mechatronics-engineering-intern-tridents-external-payload/4441/7"">https://forum.openrov.com/t/hello-openrov-mechatronics-engineering-intern-tridents-external-payload/4441/7</a>"
,,,,,,Jim_Scholz,"Thanks, I saw that thread but it indicated Rey had moved on so I didnâ€™t know if his work was on hold or had been picked up by someone else.  Hopefully someone from the Trident team will catch up on threads and provide some answers when they get a chance."
,,,,,,pforperry,"Yes Jim_Scholz, this project is surely going to be picked up by others just like I did.The work done by rey_reza forms an integral part of my external payload modules and I will be building upon his work by increasing the size of the module, increasing the battery capacity and designing for maximum flexibility in deployments.   My hard outer shell might look a little different to his but we are otherwise the same.For my part, I had no idea the little ESP8266 chip existed before starting my journey (yes, Iâ€™m a bit behind the times hahahaâ€¦we might be 10 hours in front but in most ways I feel so far behind).   To bring myself up to speed I attended a workshop at my local state library to learn more about the use of this chip (my home state of Queensland has amazing programs and facilities for tinkerers like me, <a href=""http://edgeqld.org.au/"" rel=""nofollow noopener"">http://edgeqld.org.au/</a>).I donâ€™t yet know how to integrate the chip with Trident however all will be revealed in good time.   I am hoping the wifi signal will pass equally as well through the sides of Trident as it does through the bottom and into my modules via polycarbonate (or similar) side panels."
Is the Trident powered via the tether cable?,https://forum.openrov.com/t/is-the-trident-powered-via-the-tether-cable/4374,Trident,1.4k,Nov '17,2,Is the Trident powered via the tether cable? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Al_B,"Will the new Trident be powered via the tether cable like the <a href=""http://fotokite.com/"" rel=""nofollow noopener"">Fotokite</a> does?"
,,,,,,TCIII,"<a class=""mention"" href=""/u/al_b"">@Al_B</a>,<br>
From OpenROV Founder Eric Stackpole:â€œFor the 2-series, the batteries are charged by removing them and putting them in an external charger.  Tridentâ€™s batteries are integrated with the vehicle and the charging system is built in.   The details of the design are still being worked out, but it will likely involve just plugging a connector into the vehicle where the tether port is.  Thanks for the question!â€Regards,<br>
TCIII AVD"
,,,,,,pforperry,"I am also very interested in the tether connector, powering Trident, charging batteries and sharing power between Trident and external payloads.I donâ€™t yet know the full technical specifications however from what I have been told and what is written on the openROV site, (<a href=""https://www.openrov.com/products/trident/"" rel=""nofollow noopener"">https://www.openrov.com/products/trident/</a>) Trident is powered by internal batteries that also provide power to the topside transponder."
Trident cable can be disassembled and replaced? How about charging,https://forum.openrov.com/t/trident-cable-can-be-disassembled-and-replaced-how-about-charging/5563,Trident,1.6k,Nov '17,21,Trident cable can be disassembled and replaced? How about charging - Trident - OpenROV Forums,
,,,,,,,
,,,,,,95345256,"Trident cable can be disassembled and replaced? How about charging?<br>
Thanks!"
,,,,,,NimaTorabi,"The tether is terminated at both ends with the tether connector for the vehicle, over-molded with a flexible plastic material. Trident is not designed or intended to be opened by end users. You can of course do this, but its warranty will be voided. Batteries are enclosed, and charged via the tether connector. We will have a battery replacement system for anyone whose Trident batteries are fully spent, we will require units be sent in so our in-house technicians replace them. As a consumer product, this is the only way we can ensure that the pressure proof housing for Trident electronics meet our standards, so we can guarantee their functionality."
,,,,,,95345256,Will it be charged with the 100-meter cable? How much do you charge with a volt voltage?
,,,,,,NimaTorabi,"No - the charger uses the same connector, but is a completely different thing than the tether. Tether must be removed to attach the charger."
,,,,,,95345256,"Oh, that every charge or to open the tether, and then can charge it? Charging interface is also need to do waterproof, right?"
,,,,,,NimaTorabi,"No - no charging should be done in a wet environment. The rubber gasket stays on the Trident, but you really should plan on charging Trident in a controlled environment."
,,,,,,95345256,What about the buoyâ€™s charge? Is it also necessary to charge it alone?
,,,,,,NimaTorabi,"The topside device is powered by the ROV, power source being the ROV batteries. Also the device is no longer a buoy, the design changed a couple months ago and it will now perform the same function, but without floating out at sea."
,,,,,,95345256,"By the ROV power supply, then ROV power switch where? Now the buoy of the power supply is provided through the ROV, ROV inside the battery capacity to be relatively large, right?"
,,,,,,NimaTorabi,"There is no physical switch. Once the tether is connected the power runs up the tether to the topside device, so essentially the tether connection itself is the switch. The battery life averages to be about 4 hours of dive time."
,,,,,,Scott_W,Hi NimaSo just inferring from your answer. The unit is turned on by connection of the tether (I am assuming topside connection to the WiFi unit is good enough) thus if at sea on a small wet boat you can have the tether pre connected to the ROV and then make (and break as required for prolonged battery use) this topside tether connection - Is this correct?Do you have any power usage of the â€œsleepâ€ mode of the unit (so if it is connected up before heading out to sea) how long does it take for the WiFi unit and the Raspberry Pi on board the ROV (no active operation of the ROV) to run the battery down? eg if connected up in the morning on land given about 3-4 hrs of semi active normal use if it is used intermittently over say a 12hr day this may be 2-3hrs??Thanks Scott
,,,,,,95345256,"I understand the buoy is also with the battery, right? Buoy and ROV are on the battery, you test how long can normal use?"
,,,,,,NimaTorabi,"Hi Scott,You are correct - you can disconnect the tether from the topside device to power off the ROV. Do mind however, that once the tether is connected to the topside device and the ROV is powered on, it takes anywhere from 1-3 minutes for both the Raspberry Pi (on the Trident) and the Topside WiFi device to be fully booted up and connected to.We donâ€™t have an exact calculation of how long the ROV will remain on when powering the Raspberry Pi + WiFi. Your use case could possibly work, but we donâ€™t know. <a class=""mention"" href=""/u/walt_holm"">@Walt_Holm</a> what do you think? He wants to leave the ROV on for up to 12 hrs and use it semi-actively for 3-4 hrs / day."
,,,,,,95345256,Have you tested how long wifi is connected?
,,,,,,NimaTorabi,"Are you asking about the duration that the WiFi board will be able to remain powered on, or what the WiFiâ€™s physical range is?"
,,,,,,95345256,"I mean what the WiFiâ€™s physical range is?After all, wireless signals are generally not stable"
,,,,,,NimaTorabi,"We are yet to release final WiFi range, further testing is pending as we modify the final specifications according to various parameters as determined by FCC, CE and other regulatory bodies. However we expect the final thing will have a similar range as a standard home WiFi router."
